title,vote_count,vote_average,year,genres,id
"20,000 Leagues Under the Sea",160.0,6.9,1954,"['Adventure', 'Drama', 'Science Fiction']",173
Cool Runnings,510.0,6.8,1993,['Comedy'],864
Angels in the Outfield,124.0,5.7,1994,"['Fantasy', 'Drama', 'Comedy', 'Family']",24795
Cinderella,1760.0,6.8,1950,"['Family', 'Fantasy', 'Animation', 'Romance']",11224
Winnie the Pooh and the Blustery Day,20.0,7.8,1968,"['Animation', 'Family', 'Music']",81310
The Three Caballeros,108.0,6.2,1944,"['Animation', 'Family', 'Music']",15947
The Sword in the Stone,935.0,6.9,1963,"['Animation', 'Family']",9078
Robin Hood: Prince of Thieves,937.0,6.6,1991,['Adventure'],8367
Mary Poppins,1217.0,7.4,1964,"['Comedy', 'Family', 'Fantasy']",433
Dumbo,1206.0,6.8,1941,"['Animation', 'Family']",11360
Pete's Dragon,201.0,6.4,1977,"['Fantasy', 'Animation', 'Comedy', 'Family']",11114
Bedknobs and Broomsticks,260.0,6.8,1971,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Music']",12335
Alice in Wonderland,1557.0,7.0,1951,"['Animation', 'Adventure', 'Family', 'Fantasy']",12092
The Fox and the Hound,884.0,7.0,1981,"['Adventure', 'Animation', 'Drama', 'Family']",10948
Freeway,95.0,6.5,1996,"['Comedy', 'Drama', 'Thriller']",11229
The Sound of Music,966.0,7.4,1965,"['Drama', 'Family', 'Music', 'Romance']",15121
Die Hard,4005.0,7.5,1988,"['Action', 'Thriller']",562
The Lawnmower Man,198.0,5.4,1992,"['Horror', 'Thriller', 'Science Fiction']",10163
Unhook the Stars,11.0,6.2,1996,"['Drama', 'Romance']",48862
Secrets & Lies,127.0,7.1,1996,['Drama'],11159
That Thing You Do!,230.0,6.8,1996,"['Comedy', 'Drama']",9591
To Gillian on Her 37th Birthday,13.0,5.1,1996,"['Drama', 'Romance']",30500
Surviving Picasso,21.0,5.3,1996,"['Drama', 'Romance']",41843
Beautiful Thing,76.0,7.3,1996,"['Comedy', 'Drama', 'Romance']",10938
The Long Kiss Goodnight,323.0,6.4,1996,"['Crime', 'Action', 'Mystery', 'Thriller']",11412
The Ghost and the Darkness,238.0,6.4,1996,['Adventure'],10586
Looking for Richard,33.0,6.9,1996,['Documentary'],42314
Trees Lounge,51.0,6.7,1996,"['Comedy', 'Drama']",27845
Get on the Bus,11.0,7.0,1996,['Drama'],49471
Shadow Conspiracy,12.0,4.0,1997,"['Action', 'Thriller']",38153
Jude,38.0,6.6,1996,"['Drama', 'Romance']",25147
Everyone Says I Love You,149.0,6.5,1996,"['Music', 'Comedy', 'Romance']",9716
Romeo + Juliet,1406.0,6.7,1996,"['Drama', 'Romance']",454
Swingers,255.0,6.8,1996,"['Comedy', 'Romance']",10218
Sleepers,729.0,7.3,1996,"['Crime', 'Drama', 'Thriller']",819
Aladdin and the King of Thieves,494.0,6.1,1996,"['Adventure', 'Animation', 'Family']",11238
Shall We Dance,22.0,7.9,1937,"['Comedy', 'Music', 'Romance']",31530
Crossfire,26.0,6.1,1947,"['Crime', 'Drama', 'Mystery', 'Thriller']",28120
"Murder, My Sweet",48.0,7.2,1944,"['Crime', 'Drama', 'Mystery', 'Thriller']",1834
Willy Wonka & the Chocolate Factory,826.0,7.4,1971,"['Family', 'Fantasy']",252
The Innocents,126.0,7.5,1961,['Horror'],16372
Sleeper,206.0,7.0,1973,"['Comedy', 'Romance', 'Science Fiction']",11561
Bananas,167.0,6.7,1971,['Comedy'],11302
A Fish Called Wanda,576.0,7.1,1988,"['Comedy', 'Crime']",623
Life of Brian,1230.0,7.7,1979,['Comedy'],583
Victor/Victoria,89.0,6.9,1982,"['Comedy', 'Music', 'Romance']",12614
The Candidate,39.0,6.9,1972,"['Comedy', 'Drama']",21711
The Great Race,64.0,7.2,1965,"['Adventure', 'Comedy']",11575
Bonnie and Clyde,384.0,7.6,1967,"['Crime', 'Drama']",475
The Old Man and the Sea,25.0,6.0,1958,"['Adventure', 'Drama']",11331
Dial M for Murder,539.0,7.9,1954,"['Crime', 'Mystery', 'Thriller']",521
Dirty Dancing,1371.0,7.1,1987,"['Drama', 'Music', 'Romance']",88
Reservoir Dogs,3821.0,8.1,1992,"['Crime', 'Thriller']",500
Platoon,1236.0,7.5,1986,"['Drama', 'War', 'Action']",792
Weekend at Bernie's,255.0,6.4,1989,['Comedy'],8491
Basic Instinct,869.0,6.5,1992,"['Thriller', 'Mystery']",402
The Doors,285.0,6.7,1991,"['Drama', 'Music']",10537
The Crying Game,180.0,6.9,1992,"['Romance', 'Crime', 'Drama', 'Thriller']",11386
Glengarry Glen Ross,330.0,7.5,1992,"['Crime', 'Drama', 'Mystery']",9504
Sophie's Choice,149.0,7.4,1982,"['Drama', 'Romance']",15764
E.T. the Extra-Terrestrial,3359.0,7.3,1982,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']",601
A Christmas Carol,34.0,7.0,1938,"['Fantasy', 'Drama', 'Family']",25842
Days of Thunder,359.0,5.9,1990,['Adventure'],2119
Top Gun,1736.0,6.7,1986,"['Action', 'Romance', 'War']",744
Rebel Without a Cause,351.0,7.6,1955,['Drama'],221
A Streetcar Named Desire,291.0,7.6,1951,['Drama'],702
Children of the Corn IV: The Gathering,41.0,4.6,1996,['Horror'],25750
Microcosmos,61.0,7.7,1996,['Documentary'],9305
The Associate,49.0,6.2,1996,['Comedy'],11112
The Funeral,31.0,7.3,1996,"['Crime', 'Drama']",21612
The Eighth Day,56.0,7.0,1996,['Drama'],36998
The People vs. Larry Flynt,257.0,6.8,1996,['Drama'],1630
Glory Daze,15.0,5.8,1995,['Comedy'],26626
On Golden Pond,101.0,7.3,1981,['Drama'],11816
The Return of the Pink Panther,138.0,6.7,1975,"['Mystery', 'Comedy', 'Crime']",11843
Drop Dead Fred,107.0,5.9,1991,"['Comedy', 'Fantasy', 'Family']",10379
The Abyss,822.0,7.1,1989,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",2756
The Fog,318.0,6.4,1980,['Horror'],790
Escape from New York,720.0,6.9,1981,"['Science Fiction', 'Action']",1103
The Howling,165.0,6.4,1981,"['Drama', 'Horror']",11298
Jean de Florette,113.0,7.6,1986,['Drama'],4480
Manon of the Spring,103.0,7.8,1986,['Drama'],4481
Private Benjamin,103.0,6.0,1980,['Comedy'],10765
Monty Python and the Holy Grail,1742.0,7.8,1975,"['Adventure', 'Comedy', 'Fantasy']",762
Hustler White,12.0,6.8,1996,"['Romance', 'Drama']",44497
When We Were Kings,54.0,7.3,1996,['Documentary'],10548
The Wrong Trousers,266.0,7.6,1993,"['Animation', 'Comedy', 'Family']",531
The Return of Martin Guerre,22.0,6.7,1982,"['Mystery', 'Crime', 'Drama', 'History', 'Romance']",4483
Faust,22.0,7.4,1994,"['Animation', 'Drama', 'Fantasy']",18919
He Walked by Night,17.0,6.4,1948,"['Drama', 'Thriller']",31556
Raw Deal,19.0,7.2,1948,['Crime'],26167
T-Men,15.0,6.4,1947,"['Thriller', 'Crime']",26174
The Children Are Watching Us,11.0,7.2,1944,['Drama'],61461
The Tin Drum,93.0,7.0,1979,"['Drama', 'History', 'War']",659
The Ruling Class,29.0,6.8,1972,"['Drama', 'Comedy']",30892
2 or 3 Things I Know About Her,33.0,7.0,1967,"['Comedy', 'Drama']",8074
Dear God,17.0,5.1,1996,['Comedy'],38554
Bad Moon,33.0,5.7,1996,['Horror'],49763
Best of the Best 3: No Turning Back,13.0,5.8,1995,['Action'],36555
Bob Roberts,44.0,6.5,1992,"['Comedy', 'Drama']",10608
Cinema Paradiso,834.0,8.2,1988,"['Drama', 'Romance']",11216
"The Cook, the Thief, His Wife & Her Lover",137.0,7.3,1989,"['Crime', 'Drama']",7452
Delicatessen,320.0,7.4,1991,"['Comedy', 'Science Fiction', 'Fantasy']",892
The Double Life of Veronique,154.0,7.3,1991,"['Drama', 'Thriller']",1600
Enchanted April,25.0,6.9,1991,"['Romance', 'Drama']",26561
Paths of Glory,565.0,8.2,1957,"['Drama', 'War']",975
The Grifters,112.0,6.5,1990,"['Crime', 'Drama']",18129
The English Patient,559.0,7.0,1996,"['Drama', 'Romance', 'War']",409
Mediterraneo,157.0,7.4,1991,"['Comedy', 'Romance', 'War']",38251
My Left Foot: The Story of Christy Brown,208.0,7.5,1989,['Drama'],10161
"Sex, Lies, and Videotape",188.0,6.7,1989,['Drama'],1412
Strictly Ballroom,83.0,6.2,1992,"['Comedy', 'Drama', 'Romance']",10409
The Thin Blue Line,109.0,7.9,1988,"['Mystery', 'Documentary', 'Crime']",14285
Tie Me Up! Tie Me Down!,102.0,7.0,1989,"['Comedy', 'Crime', 'Drama', 'Romance']",2469
Madonna: Truth or Dare,32.0,6.3,1991,"['Documentary', 'Music']",10174
Paris is Burning,67.0,8.2,1990,['Documentary'],31225
One Flew Over the Cuckoo's Nest,3001.0,8.3,1975,['Drama'],510
Up in Smoke,201.0,6.7,1978,['Comedy'],11455
The Empire Strikes Back,5998.0,8.2,1980,"['Adventure', 'Action', 'Science Fiction']",1891
The Princess Bride,1518.0,7.6,1987,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",2493
Raiders of the Lost Ark,3949.0,7.7,1981,"['Adventure', 'Action']",85
Brazil,877.0,7.6,1985,"['Comedy', 'Science Fiction']",68
Aliens,3282.0,7.7,1986,"['Horror', 'Action', 'Thriller', 'Science Fiction']",679
"The Good, the Bad and the Ugly",2371.0,8.1,1966,['Western'],429
Withnail & I,173.0,7.4,1987,"['Comedy', 'Drama']",13446
12 Angry Men,2130.0,8.2,1957,['Drama'],389
Lawrence of Arabia,870.0,7.8,1962,"['Adventure', 'Drama', 'History', 'War']",947
A Clockwork Orange,3432.0,8.0,1971,"['Science Fiction', 'Drama']",185
To Kill a Mockingbird,676.0,7.9,1962,"['Crime', 'Drama']",595
Apocalypse Now,2112.0,8.0,1979,"['Drama', 'War']",28
Once Upon a Time in the West,1160.0,8.1,1968,['Western'],335
Return of the Jedi,4763.0,7.9,1983,"['Adventure', 'Action', 'Science Fiction']",1892
Wings of Desire,256.0,7.5,1987,"['Drama', 'Fantasy', 'Romance']",144
The Third Man,431.0,7.9,1949,"['Thriller', 'Mystery']",1092
GoodFellas,3211.0,8.2,1990,"['Drama', 'Crime']",769
Alien,4564.0,7.9,1979,"['Horror', 'Action', 'Thriller', 'Science Fiction']",348
Army of Darkness,852.0,7.3,1992,"['Fantasy', 'Horror', 'Comedy']",766
The Big Blue,364.0,7.6,1988,"['Adventure', 'Drama', 'Romance']",175
Ran,349.0,7.9,1985,"['Action', 'Drama', 'History']",11645
The Killer,179.0,7.6,1989,"['Action', 'Crime', 'Drama', 'Thriller']",10835
Psycho,2405.0,8.3,1960,"['Drama', 'Horror', 'Thriller']",539
The Blues Brothers,1092.0,7.5,1980,"['Music', 'Comedy', 'Action', 'Crime']",525
The Godfather: Part II,3418.0,8.3,1974,"['Drama', 'Crime']",240
Full Metal Jacket,2595.0,7.9,1987,"['Drama', 'War']",600
A Grand Day Out,199.0,7.4,1990,"['Adventure', 'Animation', 'Comedy', 'Science Fiction', 'Family']",530
Henry V,73.0,7.4,1989,"['War', 'Drama', 'History', 'Action', 'Romance']",10705
Amadeus,1107.0,7.8,1984,"['Drama', 'History', 'Music']",279
The Quiet Man,118.0,7.3,1952,"['Comedy', 'Drama', 'Romance']",3109
Once Upon a Time in America,1104.0,8.3,1984,"['Drama', 'Crime']",311
Raging Bull,968.0,7.7,1980,['Drama'],1578
Annie Hall,1044.0,7.8,1977,"['Comedy', 'Drama', 'Romance']",703
The Right Stuff,241.0,7.4,1983,"['Drama', 'History']",9549
Stalker,356.0,7.8,1979,"['Drama', 'Science Fiction', 'Thriller']",1398
Das Boot,623.0,7.9,1981,"['Action', 'Drama', 'History', 'War', 'Adventure']",387
The Sting,639.0,7.9,1973,"['Comedy', 'Crime', 'Drama']",9277
Harold and Maude,266.0,7.7,1971,"['Comedy', 'Drama', 'Romance']",343
Trust,24.0,6.5,1990,"['Drama', 'Comedy']",37291
The Seventh Seal,569.0,7.9,1957,"['Fantasy', 'Drama']",490
Local Hero,81.0,7.0,1983,"['Comedy', 'Drama']",11235
The Terminator,4208.0,7.4,1984,"['Action', 'Thriller', 'Science Fiction']",218
Braindead,388.0,7.4,1992,"['Horror', 'Comedy']",763
Glory,391.0,7.4,1989,['War'],9665
Rosencrantz & Guildenstern Are Dead,75.0,7.3,1991,"['Comedy', 'Drama']",18971
Manhattan,600.0,7.8,1979,"['Comedy', 'Drama', 'Romance']",696
Miller's Crossing,431.0,7.5,1990,"['Drama', 'Thriller', 'Crime']",379
Dead Poets Society,2786.0,8.1,1989,['Drama'],207
The Graduate,855.0,7.6,1967,['Drama'],37247
Touch of Evil,292.0,7.6,1958,"['Drama', 'Thriller', 'Crime']",1480
La Femme Nikita,511.0,7.0,1990,"['Action', 'Thriller']",9322
The Bridge on the River Kwai,554.0,7.7,1957,"['Drama', 'History', 'War']",826
8½,427.0,7.9,1963,"['Fantasy', 'Drama']",422
Chinatown,939.0,7.9,1974,"['Crime', 'Drama', 'Mystery', 'Thriller']",829
The Day the Earth Stood Still,323.0,7.3,1951,"['Drama', 'Science Fiction', 'Thriller']",828
The Treasure of the Sierra Madre,285.0,7.9,1948,"['Action', 'Adventure', 'Drama', 'Western']",3090
Bad Taste,196.0,6.4,1987,"['Action', 'Comedy', 'Horror', 'Science Fiction']",9964
Duck Soup,170.0,7.6,1933,['Comedy'],3063
Better Off Dead...,164.0,6.8,1985,['Comedy'],13667
The Shining,3890.0,8.1,1980,"['Horror', 'Thriller']",694
Stand by Me,1568.0,7.8,1986,"['Crime', 'Drama']",235
M,465.0,8.0,1931,"['Drama', 'Action', 'Thriller', 'Crime']",832
Evil Dead II,760.0,7.5,1987,"['Horror', 'Comedy', 'Fantasy']",765
The Great Escape,731.0,7.8,1963,"['Adventure', 'Drama', 'History', 'Thriller', 'War']",5925
The Deer Hunter,943.0,7.8,1978,"['Drama', 'War']",11778
Diva,37.0,6.7,1981,"['Action', 'Drama', 'Music', 'Thriller']",4485
Groundhog Day,2358.0,7.4,1993,"['Romance', 'Fantasy', 'Drama', 'Comedy']",137
Unforgiven,1133.0,7.7,1992,['Western'],33
The Manchurian Candidate,188.0,7.7,1962,"['Mystery', 'Thriller']",982
Pump up the Volume,86.0,7.0,1990,"['Music', 'Drama']",8428
Arsenic and Old Lace,234.0,7.4,1944,"['Comedy', 'Crime']",212
Back to the Future,6239.0,8.0,1985,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105
Fried Green Tomatoes,298.0,7.6,1991,"['Drama', 'Comedy']",1633
Patton,327.0,7.3,1970,"['Drama', 'History', 'War']",11202
Down by Law,149.0,7.2,1986,"['Crime', 'Drama', 'Comedy']",1554
Akira,792.0,7.8,1988,"['Science Fiction', 'Animation']",149
Highlander,642.0,6.8,1986,"['Adventure', 'Action', 'Fantasy']",8009
Cool Hand Luke,390.0,7.7,1967,"['Crime', 'Drama']",903
Cyrano de Bergerac,131.0,6.8,1990,"['Drama', 'Comedy', 'History', 'Romance']",11673
Young Frankenstein,880.0,7.7,1974,"['Comedy', 'Science Fiction']",3034
Night on Earth,165.0,7.5,1991,"['Comedy', 'Drama']",339
Raise the Red Lantern,139.0,7.8,1991,['Drama'],10404
The Great Dictator,756.0,8.1,1940,['Comedy'],914
Fantasia,831.0,7.2,1940,"['Animation', 'Family', 'Music']",756
High Noon,343.0,7.6,1952,['Western'],288
The Big Sleep,244.0,7.6,1946,"['Crime', 'Drama', 'Mystery', 'Thriller']",910
Heathers,387.0,7.3,1988,"['Thriller', 'Comedy', 'Drama']",2640
Somewhere in Time,104.0,7.1,1980,"['Science Fiction', 'Drama', 'Fantasy', 'Romance']",16633
Ben-Hur,660.0,7.5,1959,"['Action', 'Adventure', 'Drama', 'History']",665
This Is Spinal Tap,413.0,7.6,1984,"['Comedy', 'Music']",11031
Koyaanisqatsi,140.0,7.7,1982,"['Documentary', 'Music']",11314
Some Kind of Wonderful,104.0,6.9,1987,"['Drama', 'Romance']",15143
Indiana Jones and the Last Crusade,3221.0,7.6,1989,"['Adventure', 'Action']",89
Being There,243.0,7.7,1979,"['Comedy', 'Drama']",10322
Gandhi,730.0,7.4,1982,"['Drama', 'History']",783
The Unbearable Lightness of Being,89.0,7.0,1988,"['Comedy', 'Romance']",10644
A Room with a View,164.0,6.9,1985,"['Drama', 'Romance']",11257
Real Genius,121.0,6.6,1985,"['Comedy', 'Romance']",14370
Pink Floyd: The Wall,363.0,7.7,1982,['Music'],12104
The Killing Fields,180.0,7.5,1984,"['War', 'Drama', 'History']",625
My Life as a Dog,70.0,7.3,1985,"['Drama', 'Comedy']",8816
Forbidden Planet,238.0,7.2,1956,"['Adventure', 'Science Fiction', 'Action']",830
Field of Dreams,383.0,7.1,1989,"['Drama', 'Fantasy']",2323
The Man Who Would Be King,148.0,7.6,1975,"['Adventure', 'Drama']",983
Butch Cassidy and the Sundance Kid,659.0,7.4,1969,"['History', 'Drama', 'Western', 'Crime']",642
"Paris, Texas",282.0,7.7,1984,['Drama'],655
Until the End of the World,45.0,6.3,1991,"['Thriller', 'Drama', 'Science Fiction', 'Action']",10341
When Harry Met Sally...,974.0,7.3,1989,"['Comedy', 'Romance', 'Drama']",639
Hype!,12.0,6.8,1996,"['Documentary', 'Music']",30180
Santa with Muscles,20.0,3.5,1996,"['Family', 'Comedy']",31388
Female Perversions,10.0,5.4,1996,"['Drama', 'Romance']",41801
Mad Dog Time,12.0,6.2,1996,"['Drama', 'Action', 'Comedy', 'Crime']",66034
Blue Juice,13.0,3.6,1995,"['Comedy', 'Romance']",18762
Alien³,1664.0,6.2,1992,"['Science Fiction', 'Action', 'Horror']",8077
An American Werewolf in London,571.0,7.2,1981,"['Horror', 'Comedy']",814
Amityville: It's About Time,21.0,4.1,1992,['Horror'],41671
Amityville 3-D,40.0,4.0,1983,"['Horror', 'Thriller']",27214
Amityville: Dollhouse,17.0,3.5,1996,['Horror'],52263
Amityville: A New Generation,17.0,2.8,1993,['Horror'],33519
Amityville II: The Possession,59.0,5.9,1982,['Horror'],16235
The Amityville Horror,192.0,6.2,1979,"['Drama', 'Horror', 'Thriller']",11449
The Amityville Curse,19.0,2.7,1989,['Horror'],41848
Blood for Dracula,22.0,5.8,1974,['Horror'],25944
April Fool's Day,74.0,5.8,1986,"['Horror', 'Mystery']",24913
Audrey Rose,34.0,5.8,1977,"['Fantasy', 'Drama', 'Horror', 'Thriller']",49126
The Believers,39.0,6.2,1987,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",32076
The Birds,959.0,7.3,1963,['Horror'],571
The Blob,147.0,6.2,1958,"['Horror', 'Science Fiction']",8851
Blood Beach,18.0,4.9,1980,"['Science Fiction', 'Horror', 'Comedy']",37843
Body Parts,24.0,5.6,1991,"['Horror', 'Thriller']",32146
The Body Snatcher,47.0,6.8,1945,"['Thriller', 'Horror']",30346
Dracula,1087.0,7.1,1992,"['Romance', 'Horror']",6114
Bride of Frankenstein,208.0,7.4,1935,"['Horror', 'Science Fiction']",229
Burnt Offerings,58.0,6.6,1976,['Horror'],13549
Candyman,303.0,6.2,1992,"['Drama', 'Horror', 'Thriller']",9529
Cape Fear,692.0,7.0,1991,"['Crime', 'Thriller']",1598
Cape Fear,125.0,7.2,1962,"['Drama', 'Thriller']",11349
Carrie,977.0,7.0,1976,"['Horror', 'Thriller']",7340
Cat People,97.0,6.0,1982,"['Drama', 'Fantasy', 'Horror', 'Thriller']",6217
A Nightmare on Elm Street,1212.0,7.2,1984,['Horror'],377
Nosferatu,373.0,7.7,1922,"['Fantasy', 'Horror']",653
The Omen,485.0,7.2,1976,"['Horror', 'Thriller']",794
Blood and Wine,34.0,5.5,1996,"['Crime', 'Drama', 'Thriller']",31640
Albino Alligator,45.0,5.6,1996,"['Crime', 'Drama', 'Thriller']",8744
The Mirror Has Two Faces,47.0,6.5,1996,"['Comedy', 'Drama', 'Romance']",25189
Breaking the Waves,213.0,7.2,1996,"['Drama', 'Romance']",145
Nightwatch,104.0,6.2,1997,"['Action', 'Drama', 'Horror', 'Mystery', 'Thriller']",2212
Star Trek: First Contact,671.0,7.0,1996,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",199
Shine,136.0,7.3,1996,['Drama'],7863
Sling Blade,236.0,7.4,1996,['Drama'],12498
Jingle All the Way,583.0,5.5,1996,"['Family', 'Comedy']",9279
Identification of a Woman,15.0,5.8,1982,"['Romance', 'Drama']",53234
Paradise Lost: The Child Murders at Robin Hood Hills,38.0,7.9,1996,"['Documentary', 'Drama']",17204
The Preacher's Wife,55.0,5.4,1996,"['Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Romance', 'Family']",21539
Ridicule,30.0,7.4,1996,"['Comedy', 'Drama', 'Romance']",12709
The Crucible,134.0,6.7,1996,"['Drama', 'History']",20539
101 Dalmatians,722.0,5.6,1996,"['Comedy', 'Family']",11674
Die Hard 2,1920.0,6.6,1990,"['Action', 'Thriller']",1573
Star Trek: The Motion Picture,541.0,6.2,1979,"['Science Fiction', 'Adventure', 'Mystery']",152
Star Trek VI: The Undiscovered Country,421.0,6.7,1991,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",174
Star Trek V: The Final Frontier,384.0,5.6,1989,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",172
Star Trek II: The Wrath of Khan,688.0,7.3,1982,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",154
Star Trek III: The Search for Spock,443.0,6.4,1984,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",157
Star Trek IV: The Voyage Home,490.0,6.9,1986,"['Science Fiction', 'Adventure']",168
Batman Returns,1706.0,6.6,1992,"['Action', 'Fantasy']",364
Young Guns,262.0,6.6,1988,"['Crime', 'Action', 'Adventure', 'Drama', 'Western']",11967
Young Guns II,165.0,6.3,1990,"['Western', 'Adventure']",9086
Grease,1633.0,7.2,1978,['Romance'],621
Grease 2,185.0,4.9,1982,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']",9037
Marked for Death,100.0,5.6,1990,"['Action', 'Thriller']",10173
Adrenalin: Fear the Rush,19.0,3.9,1996,"['Action', 'Science Fiction', 'Thriller']",55687
Under Siege,405.0,6.1,1992,"['Action', 'Thriller']",8845
Terror in a Texas Town,13.0,7.1,1958,"['Action', 'Western']",46681
Jaws,2628.0,7.5,1975,"['Horror', 'Thriller', 'Adventure']",578
Jaws 2,412.0,5.9,1978,"['Horror', 'Thriller']",579
Jaws 3-D,266.0,4.2,1983,"['Thriller', 'Horror']",17692
My Fellow Americans,46.0,6.3,1996,"['Comedy', 'Drama']",17795
Mars Attacks!,1544.0,6.1,1996,"['Comedy', 'Fantasy', 'Science Fiction']",75
Citizen Ruth,27.0,6.8,1996,"['Drama', 'Comedy']",13891
Jerry Maguire,941.0,6.7,1996,"['Comedy', 'Drama', 'Romance']",9390
Raising Arizona,548.0,7.2,1987,"['Comedy', 'Crime']",378
Tin Men,38.0,6.8,1987,"['Comedy', 'Drama']",10896
Sneakers,301.0,6.7,1992,"['Comedy', 'Crime', 'Drama']",2322
Bastard Out of Carolina,19.0,7.3,1996,['Drama'],41240
In Love and War,28.0,6.0,1996,"['Drama', 'Romance']",26949
Marvin's Room,130.0,6.6,1996,['Drama'],9819
Ghosts of Mississippi,40.0,6.2,1996,"['History', 'Drama']",31908
Night Falls on Manhattan,24.0,6.6,1996,"['Drama', 'Crime']",46027
Beavis and Butt-Head Do America,169.0,6.5,1996,"['Animation', 'Comedy']",3179
La Cérémonie,40.0,7.0,1995,"['Drama', 'Thriller']",1802
Scream,1520.0,7.0,1996,"['Crime', 'Horror', 'Mystery']",4232
The Last of the Mohicans,747.0,7.1,1992,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']",9361
Michael,174.0,5.5,1996,"['Comedy', 'Drama', 'Fantasy']",2928
The Evening Star,18.0,5.8,1996,"['Drama', 'Romance', 'Family', 'Comedy']",30285
Hamlet,118.0,7.3,1996,['Drama'],10549
Mother,19.0,6.8,1996,['Comedy'],27265
Evita,122.0,5.9,1996,"['History', 'Drama', 'Music']",8818
The Portrait of a Lady,46.0,6.3,1996,"['Drama', 'Romance']",36758
Walkabout,111.0,7.4,1971,"['Adventure', 'Drama']",36040
Murder at 1600,130.0,5.8,1997,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",9415
Fierce Creatures,95.0,6.0,1997,"['Comedy', 'Romance']",12145
Zeus & Roxanne,16.0,4.2,1997,"['Action', 'Adventure', 'Comedy', 'Family', 'Romance']",42424
Turbulence,63.0,5.2,1997,"['Action', 'Thriller', 'Crime']",34314
First Strike,101.0,6.5,1996,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller']",9404
Beverly Hills Ninja,176.0,5.5,1997,"['Action', 'Comedy']",9622
Metro,136.0,5.3,1997,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",8860
The Cement Garden,23.0,7.2,1993,['Drama'],14832
Dante's Peak,445.0,5.8,1997,"['Action', 'Adventure', 'Thriller']",9619
Meet Wally Sparks,10.0,5.3,1997,['Comedy'],40506
Amos & Andrew,47.0,5.0,1993,"['Action', 'Comedy']",31000
Benny & Joon,220.0,6.9,1993,"['Comedy', 'Drama', 'Romance']",4104
Prefontaine,21.0,6.7,1997,"['Drama', 'Romance']",26306
McHale's Navy,27.0,4.4,1997,"['Action', 'Comedy', 'Romance']",14908
Kolya,46.0,7.5,1996,"['Music', 'Drama', 'Comedy']",784
Gridlock'd,55.0,6.8,1997,"['Crime', 'Drama', 'Comedy']",12489
Waiting for Guffman,66.0,7.4,1996,"['Music', 'Comedy']",16448
Prisoner of the Mountains,14.0,6.6,1996,"['Drama', 'War']",55936
The Beautician and the Beast,53.0,5.2,1997,"['Comedy', 'Romance']",17894
SubUrbia,32.0,6.4,1996,"['Comedy', 'Drama']",28059
The Pest,35.0,5.0,1997,"['Action', 'Comedy']",17949
Fools Rush In,133.0,5.8,1997,"['Drama', 'Comedy', 'Romance']",1968
Touch,10.0,6.0,1997,"['Action', 'Comedy', 'Drama', 'Foreign', 'Romance']",61563
Absolute Power,226.0,6.4,1997,"['Crime', 'Drama', 'Thriller']",66
That Darn Cat,11.0,3.9,1997,"['Comedy', 'Family']",20735
Vegas Vacation,175.0,6.0,1997,['Comedy'],11419
That Old Feeling,15.0,7.1,1997,"['Comedy', 'Drama', 'Romance']",25796
Lost Highway,572.0,7.5,1997,"['Drama', 'Thriller', 'Mystery']",638
Rosewood,31.0,6.7,1997,"['Drama', 'History']",25624
Donnie Brasco,1175.0,7.4,1997,"['Crime', 'Drama', 'Thriller']",9366
Booty Call,29.0,5.6,1997,['Comedy'],21915
City of Industry,14.0,5.6,1997,"['Crime', 'Thriller', 'Drama']",18420
Jungle 2 Jungle,122.0,4.9,1997,"['Comedy', 'Family']",9446
Kama Sutra - A Tale of Love,36.0,5.7,1996,"['Drama', 'History', 'Romance']",28005
Private Parts,106.0,6.7,1997,"['Comedy', 'Drama']",9403
Love Jones,12.0,8.1,1997,"['Comedy', 'Drama', 'Romance']",27322
The Saint,310.0,5.9,1997,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']",10003
Smilla's Sense of Snow,61.0,6.6,1997,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",9311
The Van,15.0,5.9,1996,"['Comedy', 'Drama']",11844
Crash,224.0,6.5,1996,"['Drama', 'Thriller', 'Romance']",884
The Daytrippers,11.0,6.2,1996,"['Comedy', 'Drama', 'Mystery']",49806
Liar Liar,1456.0,6.4,1997,['Comedy'],1624
Selena,115.0,7.1,1997,['Drama'],16052
